"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C5","2","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"2","C2","1","47uf","Capacitor_THT:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal",""
"3","C3","1","1nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"4","C4","1","100pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"5","C6, C7, C8","3","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"6","D1","1","AC0","LED_THT:LED_D5.0mm",""
"7","D2","1","AC1","LED_THT:LED_D5.0mm",""
"8","D3","1","AC2","LED_THT:LED_D5.0mm",""
"9","D4","1","AC3","LED_THT:LED_D5.0mm",""
"10","D5","1","AC4","LED_THT:LED_D5.0mm",""
"11","D6","1","AC5","LED_THT:LED_D5.0mm",""
"12","D7","1","AC6","LED_THT:LED_D5.0mm",""
"13","D8","1","AC7","LED_THT:LED_D5.0mm",""
"14","D9","1","PC0","LED_THT:LED_D5.0mm",""
"15","D10","1","PC1","LED_THT:LED_D5.0mm",""
"16","D11","1","PC2","LED_THT:LED_D5.0mm",""
"17","D12","1","PC3","LED_THT:LED_D5.0mm",""
"18","D13","1","PC4","LED_THT:LED_D5.0mm",""
"19","D14","1","PC5","LED_THT:LED_D5.0mm",""
"20","D15","1","PC6","LED_THT:LED_D5.0mm",""
"21","D16","1","PC7","LED_THT:LED_D5.0mm",""
"22","D17","1","MA0","LED_THT:LED_D5.0mm",""
"23","D18","1","MA1","LED_THT:LED_D5.0mm",""
"24","D19","1","MA2","LED_THT:LED_D5.0mm",""
"25","D20","1","MA3","LED_THT:LED_D5.0mm",""
"26","D21","1","MA4","LED_THT:LED_D5.0mm",""
"27","D22","1","MA5","LED_THT:LED_D5.0mm",""
"28","D23","1","MA6","LED_THT:LED_D5.0mm",""
"29","D24","1","MA7","LED_THT:LED_D5.0mm",""
"30","D25","1","MB0","LED_THT:LED_D5.0mm",""
"31","D26","1","MB1","LED_THT:LED_D5.0mm",""
"32","D27","1","MB2","LED_THT:LED_D5.0mm",""
"33","D28","1","MB3","LED_THT:LED_D5.0mm",""
"34","D29","1","MB4","LED_THT:LED_D5.0mm",""
"35","D30","1","MB5","LED_THT:LED_D5.0mm",""
"36","D31","1","MB6","LED_THT:LED_D5.0mm",""
"37","D32","1","MB7","LED_THT:LED_D5.0mm",""
"38","D33","1","~{OPR}","LED_THT:LED_D5.0mm",""
"39","D34","1","~{JMP}","LED_THT:LED_D5.0mm",""
"40","D35","1","~{JMS}","LED_THT:LED_D5.0mm",""
"41","D36","1","~{IOT}","LED_THT:LED_D5.0mm",""
"42","D37","1","~{DCA}","LED_THT:LED_D5.0mm",""
"43","D38","1","~{ISZ}","LED_THT:LED_D5.0mm",""
"44","D39","1","~{TAD}","LED_THT:LED_D5.0mm",""
"45","D40","1","~{AND}","LED_THT:LED_D5.0mm",""
"46","D41","1","~{EXEC}","LED_THT:LED_D5.0mm",""
"47","D42","1","~{DEFER}","LED_THT:LED_D5.0mm",""
"48","D43","1","~{FETCH}","LED_THT:LED_D5.0mm",""
"49","D44","1","~{RUN}","LED_THT:LED_D5.0mm",""
"50","H1, H3, H5","3","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"51","H2, H4, H6","3","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"52","J1","1","Accumulator","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"53","J2","1","Mem_Buffer","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"54","J3","1","Conn_01x16_Female","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical",""
"55","J4, J5, J6, J8, J9, J10, J11, J12","8","Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"56","J7","1","SR_REGISTER","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"57","J13","1","~EXT.LA","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"58","J14","1","Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"59","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44","43","180R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"60","R23","1","180R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",""
"61","R45, R46, R47, R48, R49, R50, R51, R53, R54, R61, R62, R63","12","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"62","R52","1","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"63","R55, R56, R57, R58, R59, R60","6","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"64","R64","1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"65","SW1","1","0","EDUC-8:SPDT_toggle_switch_wired",""
"66","SW2","1","1","EDUC-8:SPDT_toggle_switch_wired",""
"67","SW3","1","2","EDUC-8:SPDT_toggle_switch_wired",""
"68","SW4","1","3","EDUC-8:SPDT_toggle_switch_wired",""
"69","SW5","1","4","EDUC-8:SPDT_toggle_switch_wired",""
"70","SW6","1","5","EDUC-8:SPDT_toggle_switch_wired",""
"71","SW7","1","6","EDUC-8:SPDT_toggle_switch_wired",""
"72","SW8","1","7","EDUC-8:SPDT_toggle_switch_wired",""
"73","SW9","1","LD_ADDR","EDUC-8:SPDT_toggle_switch_wired",""
"74","SW10","1","DEPOSIT","EDUC-8:SPDT_toggle_switch_wired",""
"75","SW11","1","HALT","EDUC-8:SPDT_toggle_switch_wired",""
"76","SW12","1","SINGLE","EDUC-8:SPDT_toggle_switch_wired",""
"77","SW13","1","F/S","EDUC-8:SPDT_toggle_switch_wired",""
"78","SW14","1","PAGE ZERO","EDUC-8:SPDT_toggle_switch_wired",""
"79","SW15","1","RUN","EDUC-8:SPDT_toggle_switch_wired",""
"80","SW16","1","EXAM","EDUC-8:SPDT_toggle_switch_wired",""
"81","U1, U3, U7, U11","4","74LS05","Package_DIP:DIP-14_W7.62mm_LongPads",""
"82","U2","1","74LS05","Package_DIP:DIP-14_W7.62mm",""
"83","U4, U5","2","74LS07","Package_DIP:DIP-14_W7.62mm_LongPads",""
"84","U6, U8, U9, U12","4","74LS00","Package_DIP:DIP-14_W7.62mm_LongPads",""
"85","U10","1","DM9602","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
